character,category,meaning,onyomi,kunyomi,joyo_level,jlpt_level,wk_level
連,jōyō,take along,れん,"つ, つら",4,N3,19
顔,jōyō,face,がん,かお,2,N3,10
市,jōyō,city,し,いち,2,N3,3
質,jōyō,quality,"しつ, しち",,5,N4,24
愛,jōyō,love,あい,,4,N3,17
望,jōyō,hope,ぼう,のぞ.む,4,N3,14
町,jōyō,town,ちょう,まち,1,N4,4
訪,jōyō,visit,ほう,"たず.ねる, おとず.れる",6,N3,27
歌,jōyō,"song, sing",か,うた,2,N4,10
東,jōyō,east,とう,ひがし,2,N5,6
交,jōyō,mix,こう,まじ.る,2,N3,5
配,jōyō,distribute,はい,くば.る,3,N3,10
士,jōyō,samurai,し,,4,N1,13
勝,jōyō,win,しょう,か.つ,3,N3,9
断,jōyō,cut off,だん,"ことわ.る, た.つ",5,N3,21
限,jōyō,limit,げん,かぎ.る,5,N3,25
反,jōyō,anti,はん,,3,N3,8
産,jōyō,"give birth, birth",さん,う.む,4,N3,20
覚,jōyō,"memorize, awake",かく,"おぼ, さ",4,N3,17
笑,jōyō,laugh,しょう,"わら, え",4,N3,16
格,jōyō,status,かく,,5,N3,14
売,jōyō,sell,ばい,う,2,N4,5
都,jōyō,metropolis,"と, つ",みやこ,3,N3,12
払,jōyō,pay,,はら,9,N3,35
表,jōyō,express,ひょう,"あらわ.す, おもて",3,N3,9
球,jōyō,"sphere, ball",きゅう,たま,3,N3,12
送,jōyō,send,そう,おく.る,3,N4,9
頼,jōyō,trust,らい,たの.*,9,N3,36
火,jōyō,fire,か,"ひ, ほ",1,N5,2
守,jōyō,protect,"す, しゅ","まも.る, もり",3,N3,16
服,jōyō,"clothes, clothing",ふく,,3,N4,9
役,jōyō,"service, duty",やく,,3,N3,8
声,jōyō,voice,せい,こえ,2,N3,5
記,jōyō,"write down, record",き,,2,N3,7
習,jōyō,learn,しゅう,なら.う,3,N4,10
呼,jōyō,call,こ,よ,6,N3,23
川,jōyō,river,せん,かわ,1,N5,1
座,jōyō,"sit, seat",ざ,すわ.る,6,N3,18
泳,jōyō,swim,えい,およ,3,N3,9
花,jōyō,flower,"か, け",はな,1,N4,4
公,jōyō,public,こう,,2,N4,3
古,jōyō,old,こ,ふる.い,2,N4,3
報,jōyō,"news, report",ほう,むく.いる,5,N3,18
困,jōyō,"distressed, troubled",こん,こま,6,N3,19
満,jōyō,full,まん,み,4,N3,25
任,jōyō,duty,にん,まか.せる,5,N3,21
優,jōyō,"superior, gentle",ゆう,やさ.しい,6,N3,23
敗,jōyō,"failure, fail",はい,やぶ.れる,4,N3,17
康,jōyō,health,こう,,4,N1,27
危,jōyō,dangerous,き,あぶ.ない,6,N3,16
察,jōyō,guess,さつ,さっ.する,4,N3,17
速,jōyō,fast,そく,はや.い,3,N3,10
化,jōyō,change,か,"ば.ける, ば.かす",3,N3,6
様,jōyō,"formal name title, formal name ender, manner",よう,さま,3,N3,13
支,jōyō,"support, branch",し,ささ.える,5,N3,8
辞,jōyō,quit,じ,や.める,4,N3,16
流,jōyō,stream,"りゅう, る",なが.*,3,N3,12
争,jōyō,conflict,そう,あらそ.う,4,N3,11
映,jōyō,"reflect, reflection",えい,うつ.*,6,N4,13
安,jōyō,"relax, cheap",あん,やす.い,3,N4,6
族,jōyō,"tribe, family",ぞく,,3,N4,12
治,jōyō,"cure, heal","じ, ち","なお.す, なお.る",4,N3,16
与,jōyō,give,よ,あた.える,9,N3,25
夫,jōyō,husband,"ふう, ふ",おっと,4,N3,15
万,jōyō,ten thousand,"まん, ばん",,2,N5,3
眠,jōyō,sleep,みん,ねむ.*,9,N3,27
加,jōyō,add,か,くわ.える,4,N3,19
太,jōyō,fat,たい,ふと.い,2,N3,3
答,jōyō,"answer, response, reply",とう,こた,2,N4,8
色,jōyō,"color, colour","しき, しょく",いろ,2,N4,5
提,jōyō,"present, submit",てい,,5,N1,22
消,jōyō,extinguish,しょう,"き.*, け.*",3,N3,12
可,jōyō,possible,か,,5,,18
件,jōyō,"matter, affair",けん,,5,N3,21
険,jōyō,"risky, steep",けん,けわ.しい,5,N3,16
努,jōyō,toil,ど,つと.める,4,N3,11
痛,jōyō,pain,つう,いた.い,6,N3,27
怒,jōyō,"angry, anger",ど,"おこ.る, いか.り",9,N3,27
歳,jōyō,years old,"さい, せい",,9,N3,46
徒,jōyō,"junior, follower",と,,4,N3,19
神,jōyō,god,しん,かみ,3,N3,11
去,jōyō,past,"きょ, こ",,3,N4,4
務,jōyō,task,む,つと.める,5,N3,21
民,jōyō,"peoples, people, nation",みん,たみ,4,N3,7
懸,jōyō,suspend,けん,か.*,9,N1,38
熱,jōyō,"heat, fever",ねつ,あつ.い,4,N3,13
午,jōyō,noon,ご,,2,N5,3
単,jōyō,simple,たん,,4,N3,15
願,jōyō,request,がん,"ねが, ねがい",4,N3,13
育,jōyō,"nurture, raise",いく,そだ,3,N3,11
船,jōyō,"boat, ship",せん,ふね,2,N3,7
慣,jōyō,accustomed,かん,な.れる,5,N3,25
戻,jōyō,return,れい,もど,9,N3,37
遠,jōyō,far,えん,とお,2,N3,16
束,jōyō,bundle,そく,たば,4,N3,14
態,jōyō,appearance,たい,わざ,5,N1,22
指,jōyō,finger,し,"ゆび, さ",3,N3,11
職,jōyō,employment,しょく,,5,N3,23
深,jōyō,deep,しん,ふか.*,3,N3,12
客,jōyō,guest,きゃく,,3,N3,9
建,jōyō,build,けん,た.*,4,N4,15
